"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 16:40:41 GMT 2024","Tue Dec 10 16:40:46 GMT 2024","4207","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldResendCodeOnLogin","shouldResendCodeOnLogin()",""
"passed","Tue Dec 10 16:40:46 GMT 2024","Tue Dec 10 16:40:51 GMT 2024","5228","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogout","shouldSuccessfullyLogout()",""
"passed","Tue Dec 10 16:39:51 GMT 2024","Tue Dec 10 16:39:51 GMT 2024","43","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_401","testCompletedTransactionsApi_Returns_401()",""
"passed","Tue Dec 10 16:40:55 GMT 2024","Tue Dec 10 16:40:58 GMT 2024","2269","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldLoginWrongEmail","shouldLoginWrongEmail()",""
"passed","Tue Dec 10 16:39:49 GMT 2024","Tue Dec 10 16:39:51 GMT 2024","1671","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_200","testChargersApi_Returns_200()",""
"passed","Tue Dec 10 16:40:51 GMT 2024","Tue Dec 10 16:40:55 GMT 2024","4546","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogin","shouldSuccessfullyLogin()",""
"passed","Tue Dec 10 16:39:51 GMT 2024","Tue Dec 10 16:39:51 GMT 2024","63","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_404","testChargersApi_Returns_404()",""
"passed","Tue Dec 10 16:40:58 GMT 2024","Tue Dec 10 16:41:02 GMT 2024","3927","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldLoginWrongAccessCode","shouldLoginWrongAccessCode()",""
"passed","Tue Dec 10 16:39:51 GMT 2024","Tue Dec 10 16:39:51 GMT 2024","38","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_403","testCompletedTransactionsApi_Returns_403()",""
"passed","Tue Dec 10 16:40:20 GMT 2024","Tue Dec 10 16:40:41 GMT 2024","21233","","io.oz.ChargeWebTest","","io.oz.ChargeWebTest","shouldLoginSuccessfullyStartAndStopCharging","shouldLoginSuccessfullyStartAndStopCharging()",""
