"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 11 09:27:40 GMT 2024","Wed Dec 11 09:27:40 GMT 2024","74","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_404","testChargersApi_Returns_404()",""
"passed","Wed Dec 11 09:27:39 GMT 2024","Wed Dec 11 09:27:40 GMT 2024","1494","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_200","testChargersApi_Returns_200()",""
"passed","Wed Dec 11 09:29:11 GMT 2024","Wed Dec 11 09:29:17 GMT 2024","5505","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogin","shouldSuccessfullyLogin()",""
"passed","Wed Dec 11 09:28:53 GMT 2024","Wed Dec 11 09:28:59 GMT 2024","6005","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldRejectLoginWithWrongAccessCode","shouldRejectLoginWithWrongAccessCode()",""
"passed","Wed Dec 11 09:27:40 GMT 2024","Wed Dec 11 09:27:40 GMT 2024","62","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_401","testCompletedTransactionsApi_Returns_401()",""
"passed","Wed Dec 11 09:28:30 GMT 2024","Wed Dec 11 09:28:53 GMT 2024","22839","","io.oz.ChargeWebTest","","io.oz.ChargeWebTest","shouldLoginSuccessfullyStartAndStopCharging","shouldLoginSuccessfullyStartAndStopCharging()",""
"passed","Wed Dec 11 09:28:59 GMT 2024","Wed Dec 11 09:29:06 GMT 2024","6775","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogout","shouldSuccessfullyLogout()",""
"passed","Wed Dec 11 09:27:40 GMT 2024","Wed Dec 11 09:27:40 GMT 2024","48","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_403","testCompletedTransactionsApi_Returns_403()",""
"passed","Wed Dec 11 09:29:17 GMT 2024","Wed Dec 11 09:29:20 GMT 2024","3651","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldRejectLoginWithWrongEmail","shouldRejectLoginWithWrongEmail()",""
"passed","Wed Dec 11 09:29:06 GMT 2024","Wed Dec 11 09:29:11 GMT 2024","5246","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldLoginWithResendCode","shouldLoginWithResendCode()",""
